en-US	de-DE	es-ES	es-MX	fr-CA	fr-FR	fr-CH	fr-BE	it-IT	it-CH	ja-JP	nl-NL	nl-BE	pt-BR	zh-CN	en-CA	en-IN	en-AU	en-EU	en-MY	en-SG	es-AR	es-ROAM	de-CH	de-AT	en-CH	en-NZ	en-PH	en-ZA
1 additional year of warranty	1 zusätzliches Jahr Garantie	1 año adicional de garantía	1 año extra de garantía	1 an de garantie supplémentaire	1 an de garantie supplémentaire	1 an de garantie supplémentaire	1 an de garantie supplémentaire	1 anno aggiuntivo di garanzia	1 anno aggiuntivo di garanzia	1年間の追加保証	1 extra jaar garantie	1 extra jaar garantie	Garantia de um ano adicional	1 年额外质保	1 additional year of warranty	1 additional year of warranty	1 additional year of warranty	1 additional year of warranty	1 additional year of warranty	1 additional year of warranty	1 año extra de garantía	1 año extra de garantía	1 zusätzliches Jahr Garantie	1 zusätzliches Jahr Garantie	1 additional year of warranty	1 additional year of warranty	1 additional year of warranty	1 additional year of warranty
3 additional years of warranty	3 zusätzliche Jahre Garantie	3 años adicionales de garantía	3 años extra de garantía	3 ans de garantie supplémentaires	3 ans de garantie supplémentaires	3 ans de garantie supplémentaires	3 ans de garantie supplémentaires	3 anni aggiuntivi di garanzia	3 anni aggiuntivi di garanzia	3年間の追加保証	3 extra jaar garantie	3 extra jaar garantie	Garantia de três anos adicionais	3 年额外质保	3 additional years of warranty	3 additional years of warranty	3 additional years of warranty	3 additional years of warranty	3 additional years of warranty	3 additional years of warranty	3 años extra de garantía	3 años extra de garantía	3 zusätzliche Jahre Garantie	3 zusätzliche Jahre Garantie	3 additional years of warranty	3 additional years of warranty	3 additional years of warranty	3 additional years of warranty
5 additional years of warranty	5 zusätzliche Jahre Garantie	5 años adicionales de garantía	5 años extra de garantía	5 ans de garantie supplémentaires	5 ans de garantie supplémentaires	5 ans de garantie supplémentaires	5 ans de garantie supplémentaires	5 anni aggiuntivi di garanzia	5 anni aggiuntivi di garanzia	5年間の追加保証	5 extra jaar garantie	5 extra jaar garantie	Garantia de cinco anos adicionais	5 年额外质保	5 additional years of warranty	5 additional years of warranty	5 additional years of warranty	5 additional years of warranty	5 additional years of warranty	5 additional years of warranty	5 años extra de garantía	5 años extra de garantía	5 zusätzliche Jahre Garantie	5 zusätzliche Jahre Garantie	5 additional years of warranty	5 additional years of warranty	5 additional years of warranty	5 additional years of warranty
Project Summary Page	Projekt-Übersichtsseite	Página de resumen del proyecto	Página de resumen del proyecto	Page de résumé du projet	Page de résumé du projet	Page de résumé du projet	Page de résumé du projet	Pagina di riepilogo del progetto	Pagina di riepilogo del progetto	プロジェクトの概要ページ	Pagina met projectoverzicht	Pagina met projectoverzicht	Página do resumo do projeto	项目摘要页面	Project Summary Page	Project Summary Page	Project Summary Page	Project Summary Page	Project Summary Page	Project Summary Page	Página de resumen del proyecto	Página de resumen del proyecto	Projekt-Übersichtsseite	Projekt-Übersichtsseite	Project Summary Page	Project Summary Page	Project Summary Page	Project Summary Page
Your Custom URL: __________	Ihre benutzerdefinierte URL: __________	Su URL personalizada: __________	Su URL personalizada: __________	Votre URL personnalisée: __________	Votre URL personnalisée: __________	Votre URL personnalisée: __________	Votre URL personnalisée: __________	URL personalizzato: _________	URL personalizzato: _________	カスタムURL：_____	Uw aangepaste URL: __________	Uw aangepaste URL: __________	URL personalizado: __________	您的自定义 URL：__________	Your Custom URL: __________	Your Custom URL: __________	Your Custom URL: __________	Your Custom URL: __________	Your Custom URL: __________	Your Custom URL: __________	Su URL personalizada: __________	Su URL personalizada: __________	Ihre benutzerdefinierte URL: __________	Ihre benutzerdefinierte URL: __________	Your Custom URL: __________	Your Custom URL: __________	Your Custom URL: __________	Your Custom URL: __________
Thank you for your interest in Logitech!	Vielen Dank für Ihr Interesse an Logitech!	Agradecemos su interés en Logitech.	¡Gracias por tu interés en Logitech!	Nous vous remercions de l’intérêt que vous portez à Logitech.	Nous vous remercions de l’intérêt que vous portez à Logitech.	Nous vous remercions de l’intérêt que vous portez à Logitech.	Nous vous remercions de l’intérêt que vous portez à Logitech.	Grazie per l’interesse che hai dimostrato nei prodotti Logitech.	Grazie per l’interesse che hai dimostrato nei prodotti Logitech.	ロジクールをご愛顧いただき、誠にありがとうございます。	Bedankt voor uw interesse in Logitech!	Bedankt voor uw interesse in Logitech!	Agradecemos seu interesse na Logitech!	感谢您对罗技的关注！	Thank you for your interest in Logitech!	Thank you for your interest in Logitech!	Thank you for your interest in Logitech!	Thank you for your interest in Logitech!	Thank you for your interest in Logitech!	Thank you for your interest in Logitech!	¡Gracias por tu interés en Logitech!	¡Gracias por tu interés en Logitech!	Vielen Dank für Ihr Interesse an Logitech!	Vielen Dank für Ihr Interesse an Logitech!	Thank you for your interest in Logitech!	Thank you for your interest in Logitech!	Thank you for your interest in Logitech!	Thank you for your interest in Logitech!
Review your finished room(s) below.	Sehen Sie sich nachfolgend Ihre fertig eingerichteten Räume an.	Revise sus salas terminadas a continuación.	Revisa a continuación tus salas finalizadas.	Vérifiez vos salles terminées ci-dessous.	Vérifiez vos salles terminées ci-dessous.	Vérifiez vos salles terminées ci-dessous.	Vérifiez vos salles terminées ci-dessous.	Controlla le sale finite qui sotto.	Controlla le sale finite qui sotto.	会議室の完成図を以下からご確認いただけます。	Controleer uw voltooide ruimte(s) hieronder.	Controleer uw voltooide ruimte(s) hieronder.	Confira as salas concluídas abaixo.	在下方查看已构建完成的会议室。	Review your finished room(s) below.	Review your finished room(s) below.	Review your finished room(s) below.	Review your finished room(s) below.	Review your finished room(s) below.	Review your finished room(s) below.	Revisa a continuación tus salas finalizadas.	Revisa a continuación tus salas finalizadas.	Sehen Sie sich nachfolgend Ihre fertig eingerichteten Räume an.	Sehen Sie sich nachfolgend Ihre fertig eingerichteten Räume an.	Review your finished room(s) below.	Review your finished room(s) below.	Review your finished room(s) below.	Review your finished room(s) below.
Download and share your custom room guide.	Laden Sie Ihren individuellen Raumführer herunter und teilen Sie ihn mit anderen.	Descargue y comparta su guía de salas personalizada.	Descargue y comparta su guía de salas personalizada.	Téléchargez et partagez votre guide des salles personnalisé.	Téléchargez et partagez votre guide des salles personnalisé.	Téléchargez et partagez votre guide des salles personnalisé.	Téléchargez et partagez votre guide des salles personnalisé.	Scarica e condividi la tua guida per sale personalizzate.	Scarica e condividi la tua guida per sale personalizzate.	カスタム会議室ガイドをダウンロードして共有できます。	Download en deel de gids voor uw aangepaste ruimten.	Download en deel de gids voor uw aangepaste ruimten.	Baixe e compartilhe o guia personalizado para salas.	下载并分享您的自定义会议室指南。	Download and share your custom room guide.	Download and share your custom room guide.	Download and share your custom room guide.	Download and share your custom room guide.	Download and share your custom room guide.	Download and share your custom room guide.	Descargue y comparta su guía de salas personalizada.	Descargue y comparta su guía de salas personalizada.	Laden Sie Ihren individuellen Raumführer herunter und teilen Sie ihn mit anderen.	Laden Sie Ihren individuellen Raumführer herunter und teilen Sie ihn mit anderen.	Download and share your custom room guide.	Download and share your custom room guide.	Download and share your custom room guide.	Download and share your custom room guide.
Request a consultation to receive a formal quote and facilitate next steps, whether through Logitech or your preferred partner.	Beantragen Sie noch heute eine Beratung durch Logitech oder Ihren bevorzugten Partner, um ein formelles Angebot zu erhalten und die nächsten Schritte festzulegen.	Solicite un asesoramiento hoy mismo para recibir un presupuesto formal y facilitarle los siguientes pasos, ya sea a través de Logitech o del asociado que elija.	Solicite una consulta para recibir un presupuesto formal y facilitar los pasos siguientes, ya sea mediante Logitech o su asociado preferido.	Demandez une consultation pour recevoir un devis formel et faciliter les prochaines étapes, que ce soit via Logitech ou votre partenaire privilégié.	Demandez une consultation pour recevoir un devis formel et faciliter les prochaines étapes, que ce soit via Logitech ou votre partenaire privilégié.	Demandez une consultation pour recevoir un devis formel et faciliter les prochaines étapes, que ce soit via Logitech ou votre partenaire privilégié.	Demandez une consultation pour recevoir un devis formel et faciliter les prochaines étapes, que ce soit via Logitech ou votre partenaire privilégié.	Richiedi una consulenza per ricevere un preventivo formale e semplificare i passaggi successivi, tramite Logitech o il tuo partner preferito.	Richiedi una consulenza per ricevere un preventivo formale e semplificare i passaggi successivi, tramite Logitech o il tuo partner preferito.	ロジクールまたはご希望のパートナーを通じた正式なお見積もりと次のステップについて、お気軽にご連絡ください。	Vraag een consultatie aan om een formele offerte te ontvangen en de volgende stappen te vergemakkelijken, hetzij via Logitech of uw partner.	Vraag een consultatie aan om een formele offerte te ontvangen en de volgende stappen te vergemakkelijken, hetzij via Logitech of uw partner.	Solicite uma consulta para receber uma cotação formal e facilitar as próximas etapas com a Logitech ou o parceiro de sua preferência.	通过罗技或您的首选合作伙伴申请咨询以获得正式报价以及协助后续步骤。	Request a consultation to receive a formal quote and facilitate next steps, whether through Logitech or your preferred partner.	Request a consultation to receive a formal quote and facilitate next steps, whether through Logitech or your preferred partner.	Request a consultation to receive a formal quote and facilitate next steps, whether through Logitech or your preferred partner.	Request a consultation to receive a formal quote and facilitate next steps, whether through Logitech or your preferred partner.	Request a consultation to receive a formal quote and facilitate next steps, whether through Logitech or your preferred partner.	Request a consultation to receive a formal quote and facilitate next steps, whether through Logitech or your preferred partner.	Solicite una consulta para recibir un presupuesto formal y facilitar los pasos siguientes, ya sea mediante Logitech o su asociado preferido.	Solicite una consulta para recibir un presupuesto formal y facilitar los pasos siguientes, ya sea mediante Logitech o su asociado preferido.	Beantragen Sie noch heute eine Beratung durch Logitech oder Ihren bevorzugten Partner, um ein formelles Angebot zu erhalten und die nächsten Schritte festzulegen.	Beantragen Sie noch heute eine Beratung durch Logitech oder Ihren bevorzugten Partner, um ein formelles Angebot zu erhalten und die nächsten Schritte festzulegen.	Request a consultation to receive a formal quote and facilitate next steps, whether through Logitech or your preferred partner.	Request a consultation to receive a formal quote and facilitate next steps, whether through Logitech or your preferred partner.	Request a consultation to receive a formal quote and facilitate next steps, whether through Logitech or your preferred partner.	Request a consultation to receive a formal quote and facilitate next steps, whether through Logitech or your preferred partner.
Request Consultation	Beratung anfordern	Solicitar asesoramiento	Solicitar consulta	Demander une consultation	Demander une consultation	Demander une consultation	Demander une consultation	Richiedi una consulenza	Richiedi una consulenza	コンサルテーションをリクエスト	Advies aanvragen	Advies aanvragen	Solicitar consulta	申请咨询	Request Consultation	Request Consultation	Request Consultation	Request Consultation	Request Consultation	Request Consultation	Solicitar consulta	Solicitar consulta	Beratung anfordern	Beratung anfordern	Request Consultation	Request Consultation	Request Consultation	Request Consultation
Explore Your Finished Room(s)	Fertig eingerichtete Räume ansehen	Explore sus salas terminadas	Explora tus salas finalizadas	Découvrir vos salles terminées	Découvrir vos salles terminées	Découvrir vos salles terminées	Découvrir vos salles terminées	Esplora le tue sale finite	Esplora le tue sale finite	会議室完成図を確認	Verken uw voltooide ruimte(s)	Verken uw voltooide ruimte(s)	Confira as salas concluídas	探索已构建完成的会议室	Explore Your Finished Room(s)	Explore Your Finished Room(s)	Explore Your Finished Room(s)	Explore Your Finished Room(s)	Explore Your Finished Room(s)	Explore Your Finished Room(s)	Explora tus salas finalizadas	Explora tus salas finalizadas	Fertig eingerichtete Räume ansehen	Fertig eingerichtete Räume ansehen	Explore Your Finished Room(s)	Explore Your Finished Room(s)	Explore Your Finished Room(s)	Explore Your Finished Room(s)
Configurations are for exploratory purposes only. Room guides and the prices listed are based on local MSRP for the products and are not formal quotes. Prices may vary by location, channel or reseller. Please request a consultation for more information and next steps.	Die Konfigurationen dienen nur zu Demonstrationszwecken. Die aufgeführten Raumführer und Preise basieren auf der lokalen unverbindlichen Preisempfehlung der Produkte und sind keine offiziellen Preisangebote. Die Preise können je nach Standort, Vertriebskanal oder Händler variieren. Bitte fordern Sie eine Beratung an, um weitere Informationen und die nächsten Schritte zu erfahren.	Las configuraciones tienen únicamente fines exploratorios. Las guías de salas y los precios indicados se basan en el PVP local de los productos y no son presupuestos formales. Los precios pueden variar según la ubicación, el canal o el distribuidor. Solicite un asesoramiento para obtener más información y los pasos a seguir.	Las configuraciones son solo para fines exploratorios. Las guías de salas y los precios indicados se basan en el PVP local de los productos y no son presupuestos formales. Los precios pueden variar según la ubicación, el canal o el distribuidor. Solicite una consulta para obtener más información y los pasos a seguir.	Les configurations sont uniquement à des fins exploratoires. Les guides des salles et prix indiqués sont basés sur le MSRP local pour les produits et ne sont pas des devis formels. Les prix peuvent varier en fonction de l’emplacement, du canal ou du revendeur. Veuillez demander une consultation pour plus d’informations et connaître les prochaines étapes.	Les configurations sont uniquement à des fins exploratoires. Les guides des salles et prix indiqués sont basés sur le MSRP local pour les produits et ne sont pas des devis formels. Les prix peuvent varier en fonction de l’emplacement, du canal ou du revendeur. Veuillez demander une consultation pour plus d’informations et connaître les prochaines étapes.	Les configurations sont uniquement à des fins exploratoires. Les guides des salles et prix indiqués sont basés sur le MSRP local pour les produits et ne sont pas des devis formels. Les prix peuvent varier en fonction de l’emplacement, du canal ou du revendeur. Veuillez demander une consultation pour plus d’informations et connaître les prochaines étapes.	Les configurations sont uniquement à des fins exploratoires. Les guides des salles et prix indiqués sont basés sur le MSRP local pour les produits et ne sont pas des devis formels. Les prix peuvent varier en fonction de l’emplacement, du canal ou du revendeur. Veuillez demander une consultation pour plus d’informations et connaître les prochaines étapes.	Le configurazioni sono solo a scopo esplorativo. Le guide per le sale e i prezzi indicati si basano sul prezzo dei prodotti consigliato al pubblico e non sono preventivi formali. I prezzi possono variare in base a luogo, canale o rivenditore. Chiedi un consulenza per ulteriori informazioni e per i passaggi successivi.	Le configurazioni sono solo a scopo esplorativo. Le guide per le sale e i prezzi indicati si basano sul prezzo dei prodotti consigliato al pubblico e non sono preventivi formali. I prezzi possono variare in base a luogo, canale o rivenditore. Chiedi un consulenza per ulteriori informazioni e per i passaggi successivi.	構成は確認目的のみです。会議室ガイドおよび価格は、製品の現地の参考価格に基づいており、正式な見積もりではありません。価格は、場所、チャネルまたは販売代理店によって異なる場合があります。詳細情報と次のステップについて、コンサルテーションをリクエストしてください。	Configuraties zijn alleen bedoeld voor verkennende doeleinden. De ruimtegidsen en de vermelde prijzen zijn gebaseerd op de plaatselijke adviesprijs voor de producten en zijn geen formele offertes. Prijzen kunnen variëren per locatie, kanaal of reseller. Vraag een consult aan voor meer informatie en vervolgstappen.	Configuraties zijn alleen bedoeld voor verkennende doeleinden. De ruimtegidsen en de vermelde prijzen zijn gebaseerd op de plaatselijke adviesprijs voor de producten en zijn geen formele offertes. Prijzen kunnen variëren per locatie, kanaal of reseller. Vraag een consult aan voor meer informatie en vervolgstappen.	As configurações são apenas para fins de análise. Os guias de salas e os preços listados são com base no MSRP local para produtos, e não são cotações formais. Os preços podem variar de acordo com a localização, canal ou revendedor. Solicite uma consulta para obter mais informações e as próximas etapas.	配置仅用于说明目的。会议室指南和列出的价格基于产品的当地厂家建议零售价，并非正式报价。具体价格可能因地点、渠道或分销商而异。请申请咨询以便了解更多信息和后续步骤。	Configurations are for exploratory purposes only. Room guides and the prices listed are based on local MSRP for the products and are not formal quotes. Prices may vary by location, channel or reseller. Please request a consultation for more information and next steps.	Configurations are for exploratory purposes only. Room guides and the prices listed are based on local MSRP for the products and are not formal quotes. Prices may vary by location, channel or reseller. Please request a consultation for more information and next steps.	Configurations are for exploratory purposes only. Room guides and the prices listed are based on local MSRP for the products and are not formal quotes. Prices may vary by location, channel or reseller. Please request a consultation for more information and next steps.	Configurations are for exploratory purposes only. Room guides and the prices listed are based on local MSRP for the products and are not formal quotes. Prices may vary by location, channel or reseller. Please request a consultation for more information and next steps.	Configurations are for exploratory purposes only. Room guides and the prices listed are based on local MSRP for the products and are not formal quotes. Prices may vary by location, channel or reseller. Please request a consultation for more information and next steps.	Configurations are for exploratory purposes only. Room guides and the prices listed are based on local MSRP for the products and are not formal quotes. Prices may vary by location, channel or reseller. Please request a consultation for more information and next steps.	Las configuraciones son solo para fines exploratorios. Las guías de salas y los precios indicados se basan en el PVP local de los productos y no son presupuestos formales. Los precios pueden variar según la ubicación, el canal o el distribuidor. Solicite una consulta para obtener más información y los pasos a seguir.	Las configuraciones son solo para fines exploratorios. Las guías de salas y los precios indicados se basan en el PVP local de los productos y no son presupuestos formales. Los precios pueden variar según la ubicación, el canal o el distribuidor. Solicite una consulta para obtener más información y los pasos a seguir.	Die Konfigurationen dienen nur zu Demonstrationszwecken. Die aufgeführten Raumführer und Preise basieren auf der lokalen unverbindlichen Preisempfehlung der Produkte und sind keine offiziellen Preisangebote. Die Preise können je nach Standort, Vertriebskanal oder Händler variieren. Bitte fordern Sie eine Beratung an, um weitere Informationen und die nächsten Schritte zu erfahren.	Die Konfigurationen dienen nur zu Demonstrationszwecken. Die aufgeführten Raumführer und Preise basieren auf der lokalen unverbindlichen Preisempfehlung der Produkte und sind keine offiziellen Preisangebote. Die Preise können je nach Standort, Vertriebskanal oder Händler variieren. Bitte fordern Sie eine Beratung an, um weitere Informationen und die nächsten Schritte zu erfahren.	Configurations are for exploratory purposes only. Room guides and the prices listed are based on local MSRP for the products and are not formal quotes. Prices may vary by location, channel or reseller. Please request a consultation for more information and next steps.	Configurations are for exploratory purposes only. Room guides and the prices listed are based on local MSRP for the products and are not formal quotes. Prices may vary by location, channel or reseller. Please request a consultation for more information and next steps.	Configurations are for exploratory purposes only. Room guides and the prices listed are based on local MSRP for the products and are not formal quotes. Prices may vary by location, channel or reseller. Please request a consultation for more information and next steps.	Configurations are for exploratory purposes only. Room guides and the prices listed are based on local MSRP for the products and are not formal quotes. Prices may vary by location, channel or reseller. Please request a consultation for more information and next steps.
Add Another Room	Weiteren Raum hinzufügen	Añadir otra sala	Agregar otra sala	Ajouter une autre salle	Ajouter une autre salle	Ajouter une autre salle	Ajouter une autre salle	Aggiungi un’altra sala	Aggiungi un’altra sala	別の会議室を追加	Nog een ruimte toevoegen	Nog een ruimte toevoegen	Adicionar outra sala	添加另一个会议室	Add Another Room	Add Another Room	Add Another Room	Add Another Room	Add Another Room	Add Another Room	Agregar otra sala	Agregar otra sala	Weiteren Raum hinzufügen	Weiteren Raum hinzufügen	Add Another Room	Add Another Room	Add Another Room	Add Another Room
Download Room Guide (All)	Raumführer (Alle) herunterladen	Descargar guía de salas (todos)	Descargar guía de salas (todos)	Télécharger le guide des salles (toutes)	Télécharger le guide des salles (toutes)	Télécharger le guide des salles (toutes)	Télécharger le guide des salles (toutes)	Scarica la guida per sale (tutte)	Scarica la guida per sale (tutte)	会議室ガイドをダウンロード（すべて）	Ruimtegids downloaden (alle)	Ruimtegids downloaden (alle)	Baixar o guia para salas (todos)	下载会议室指南（全部）	Download Room Guide (All)	Download Room Guide (All)	Download Room Guide (All)	Download Room Guide (All)	Download Room Guide (All)	Download Room Guide (All)	Descargar guía de salas (todos)	Descargar guía de salas (todos)	Raumführer (Alle) herunterladen	Raumführer (Alle) herunterladen	Download Room Guide (All)	Download Room Guide (All)	Download Room Guide (All)	Download Room Guide (All)
Share Your Project	Teilen Sie Ihr Projekt	Comparta su proyecto	Comparta su proyecto	Partager votre projet	Partager votre projet	Partager votre projet	Partager votre projet	Condividi il tuo progetto	Condividi il tuo progetto	プロジェクトを共有	Deel uw project	Deel uw project	Compartilhe seu projeto	分享您的项目	Share Your Project	Share Your Project	Share Your Project	Share Your Project	Share Your Project	Share Your Project	Comparta su proyecto	Comparta su proyecto	Teilen Sie Ihr Projekt	Teilen Sie Ihr Projekt	Share Your Project	Share Your Project	Share Your Project	Share Your Project
[Phone Booth] [2. Deployment] Room	[Telefonzelle] [2. Bereitstellung] Raum	[Cabina] [2. Implementación] sala	[Cabina] [2. Implementación] Sala	[2. Déploiement] [Cabine téléphonique]	[2. Déploiement] [Cabine téléphonique]	[2. Déploiement] [Cabine téléphonique]	[2. Déploiement] [Cabine téléphonique]	Sala [Phone Booth] [2. Deployment]	Sala [Phone Booth] [2. Deployment]	[フォンブース] [2.導入] 会議室	[Telefooncabine] [2. Implementatie] Ruimte	[Telefooncabine] [2. Implementatie] Ruimte	[Cabine telefônica] [2. Implantação] Sala	[微型隔间] [2.部署] 会议室	[Phone Booth] [2. Deployment] Room	[Phone Booth] [2. Deployment] Room	[Phone Booth] [2. Deployment] Room	[Phone Booth] [2. Deployment] Room	[Phone Booth] [2. Deployment] Room	[Phone Booth] [2. Deployment] Room	[Cabina] [2. Implementación] Sala	[Cabina] [2. Implementación] Sala	[Telefonzelle] [2. Bereitstellung] Raum	[Telefonzelle] [2. Bereitstellung] Raum	[Phone Booth] [2. Deployment] Room	[Phone Booth] [2. Deployment] Room	[Phone Booth] [2. Deployment] Room	[Phone Booth] [2. Deployment] Room
Phone booths work great for ad-hoc video meetings when you need a quiet environment without disturbing others.	Telefonkabinen eignen sich hervorragend für spontane Videobesprechungen, wenn Sie eine ruhige Umgebung benötigen, ohne andere zu stören.	Las cabinas son ideales para reuniones de vídeo puntuales cuando se necesita un entorno tranquilo sin molestar a los demás.	Las cabinas son ideales para reuniones por video a la medida cuando se necesita un entorno discreto que no moleste a los demás.	Les cabines téléphoniques fonctionnent parfaitement pour les réunions vidéo ponctuelles, lorsque vous avez besoin d’un environnement calme sans déranger les autres.	Les cabines téléphoniques fonctionnent parfaitement pour les réunions vidéo ponctuelles, lorsque vous avez besoin d’un environnement calme sans déranger les autres.	Les cabines téléphoniques fonctionnent parfaitement pour les réunions vidéo ponctuelles, lorsque vous avez besoin d’un environnement calme sans déranger les autres.	Les cabines téléphoniques fonctionnent parfaitement pour les réunions vidéo ponctuelles, lorsque vous avez besoin d’un environnement calme sans déranger les autres.	Le phone booth sono perfette per video meeting ad hoc quando hai bisogno di un ambiente tranquillo senza disturbare gli altri.	Le phone booth sono perfette per video meeting ad hoc quando hai bisogno di un ambiente tranquillo senza disturbare gli altri.	静かな環境を確保でき、かつ会議の声が他の人の作業をさまたげないフォンブースは、簡易的なビデオ会議に最適です。	Telefooncabines werken uitstekend voor ad-hoc videovergaderingen wanneer u een stille omgeving nodig heeft zonder anderen te storen.	Telefooncabines werken uitstekend voor ad-hoc videovergaderingen wanneer u een stille omgeving nodig heeft zonder anderen te storen.	As cabines telefônicas funcionam muito bem em reuniões por vídeo de última hora, nas quais é necessário um ambiente silencioso sem incomodar outras pessoas.	当您需要一个安静的环境又不想打扰他人时，微型隔间是非常适合临时视频会议的解决方案。	Phone booths work great for ad-hoc video meetings when you need a quiet environment without disturbing others.	Phone booths work great for ad-hoc video meetings when you need a quiet environment without disturbing others.	Phone booths work great for ad-hoc video meetings when you need a quiet environment without disturbing others.	Phone booths work great for ad-hoc video meetings when you need a quiet environment without disturbing others.	Phone booths work great for ad-hoc video meetings when you need a quiet environment without disturbing others.	Phone booths work great for ad-hoc video meetings when you need a quiet environment without disturbing others.	Las cabinas son ideales para reuniones por video a la medida cuando se necesita un entorno discreto que no moleste a los demás.	Las cabinas son ideales para reuniones por video a la medida cuando se necesita un entorno discreto que no moleste a los demás.	Telefonkabinen eignen sich hervorragend für spontane Videobesprechungen, wenn Sie eine ruhige Umgebung benötigen, ohne andere zu stören.	Telefonkabinen eignen sich hervorragend für spontane Videobesprechungen, wenn Sie eine ruhige Umgebung benötigen, ohne andere zu stören.	Phone booths work great for ad-hoc video meetings when you need a quiet environment without disturbing others.	Phone booths work great for ad-hoc video meetings when you need a quiet environment without disturbing others.	Phone booths work great for ad-hoc video meetings when you need a quiet environment without disturbing others.	Phone booths work great for ad-hoc video meetings when you need a quiet environment without disturbing others.
[Huddle] [2. Deployment] Room	[Huddle] [2. Bereitstellung] Raum	[Espacio de reunión reducido] [2. Implementación] sala	[Espacio de reunión reducido] [2. Implementación] Sala	[2. Déploiement] [Petite salle de conférence]	[2. Déploiement] [Petite salle de conférence]	[2. Déploiement] [Petite salle de conférence]	[2. Déploiement] [Petite salle de conférence]	Sala [Huddle] [2. Deployment]	Sala [Huddle] [2. Deployment]	［ハドル］［2.導入] 会議室	[Team] [2. Implementatie] Ruimte	[Team] [2. Implementatie] Ruimte	[Reunião rápida] [2. Implantação] Sala	[微型] [2.部署] 会议室	[Huddle] [2. Deployment] Room	[Huddle] [2. Deployment] Room	[Huddle] [2. Deployment] Room	[Huddle] [2. Deployment] Room	[Huddle] [2. Deployment] Room	[Huddle] [2. Deployment] Room	[Espacio de reunión reducido] [2. Implementación] Sala	[Espacio de reunión reducido] [2. Implementación] Sala	[Huddle] [2. Bereitstellung] Raum	[Huddle] [2. Bereitstellung] Raum	[Huddle] [2. Deployment] Room	[Huddle] [2. Deployment] Room	[Huddle] [2. Deployment] Room	[Huddle] [2. Deployment] Room
Huddle rooms are great for hybrid meetings with remote participants.	Huddle-Räume eignen sich hervorragend für hybride Meetings mit Remote-Teilnehmern.	Los espacios de reunión reducidos son ideales para reuniones híbridas con participantes remotos.	Los espacios de reunión reducidos son ideales para reuniones híbridas con participantes remotos.	Les petites salles de conférence sont idéales pour les réunions hybrides avec des participants à distance.	Les petites salles de conférence sont idéales pour les réunions hybrides avec des participants à distance.	Les petites salles de conférence sont idéales pour les réunions hybrides avec des participants à distance.	Les petites salles de conférence sont idéales pour les réunions hybrides avec des participants à distance.	Le salette sono perfette per le riunioni ibride con partecipanti da remoto.	Le salette sono perfette per le riunioni ibride con partecipanti da remoto.	ハドルルームは、リモート参加者を含むハイブリッド会議に最適です。	Teamruimtes zijn geschikt voor hybride vergaderingen met deelnemers op afstand.	Teamruimtes zijn geschikt voor hybride vergaderingen met deelnemers op afstand.	Salas de reunião pequenas são ótimas para reuniões híbridas com participantes remotos.	微型会议室非常适合有远程与会者的混合式会议。	Huddle rooms are great for hybrid meetings with remote participants.	Huddle rooms are great for hybrid meetings with remote participants.	Huddle rooms are great for hybrid meetings with remote participants.	Huddle rooms are great for hybrid meetings with remote participants.	Huddle rooms are great for hybrid meetings with remote participants.	Huddle rooms are great for hybrid meetings with remote participants.	Los espacios de reunión reducidos son ideales para reuniones híbridas con participantes remotos.	Los espacios de reunión reducidos son ideales para reuniones híbridas con participantes remotos.	Huddle-Räume eignen sich hervorragend für hybride Meetings mit Remote-Teilnehmern.	Huddle-Räume eignen sich hervorragend für hybride Meetings mit Remote-Teilnehmern.	Huddle rooms are great for hybrid meetings with remote participants.	Huddle rooms are great for hybrid meetings with remote participants.	Huddle rooms are great for hybrid meetings with remote participants.	Huddle rooms are great for hybrid meetings with remote participants.
[Small] [2. Deployment] Room	[Klein] [2. Bereitstellung] Raum	[Pequeña] [2. Implementación] sala	[Pequeña] [2. Implementación] Sala	[2. Déploiement] [Petite salle]	[2. Déploiement] [Petite salle]	[2. Déploiement] [Petite salle]	[2. Déploiement] [Petite salle]	Sala [Small] [2. Deployment]	Sala [Small] [2. Deployment]	[小] [2.導入] 会議室	[Klein] [2. Implementatie] Ruimte	[Klein] [2. Implementatie] Ruimte	[Pequena] [2. Implantação] Sala	[小型] [2.部署] 会议室	[Small] [2. Deployment] Room	[Small] [2. Deployment] Room	[Small] [2. Deployment] Room	[Small] [2. Deployment] Room	[Small] [2. Deployment] Room	[Small] [2. Deployment] Room	[Pequeña] [2. Implementación] Sala	[Pequeña] [2. Implementación] Sala	[Klein] [2. Bereitstellung] Raum	[Klein] [2. Bereitstellung] Raum	[Small] [2. Deployment] Room	[Small] [2. Deployment] Room	[Small] [2. Deployment] Room	[Small] [2. Deployment] Room
